Title,IMDb ID
"Colargol, the Conqueror of Space",21856856
Jack Frost,0116671
Nutcracker Fantasy,0079648
Ubu et la Grande Gidouille,0094205
Rudolph and Frosty's Christmas in July,0079828
Colargol and the Magic Suitcase,0205461
I Go Pogo,0087925
Pinocchio's Christmas,0081340
The Tale Of John and Marie,21402698
Rennyo and His Mother,0472415
"Adventures of Robinson Crusoe, a Sailor from York",0384923
Henry The Horse,1320269
The Flying Windmill,0162327
Our House,10098728
Chronopolis,0262333
The Adventures of Sam the Squirrel,1199099
The Wind in the Willows,0118172
Cristóbal Colón,0103962
The Little Witch,6153538
Twice Upon a Time,0086489
Saving Mother,3296434
The Adventures of Mark Twain,0088678
The Life & Adventures of Santa Claus,0089488
Odyssea,0114863
Fool's Paradise,9013340
The Pied Piper of Hamelin,0050842
Sophie's Place,0064192
Long live Servatius!,0154051
The Amazing Mr. Bickford,0215511
My Favourite Time,1387232
The Puppetoon Movie,0127745
The Boys Of Summer Movie,3954936
The Cat Who Walked by Herself,0997248
Santa Claus: The Baker Street,0058548
A Tale of Two Toads,31492872
The Trace Leads to the Silver Lake,0332410
The Fool of the World and the Flying Ship,0205070
The School of Fine Arts,25320282
The School of Fine Arts: The Return,2333552
Mitki-Mayer,30552287
The Nightmare Before Christmas,0107688
The Return of Captain Sinbad,10545442
The Secret Adventures of Tom Thumb,0108069
Gumby: The Movie,0113234
James and the Giant Peach,0116683
Kings and Cabbage,0428096
Jue jiang de Kailaban,0454855
"Mamo, czy kury potrafią mówić?",0164090
Reise um die Erde in 80 Tagen,0010622
The Magic Pipe,5121892
The Miracle Maker,0208298
Chicken Run,0120630
Prop and Berta,0258050
Optimus Mundus,15205382
Tootletubs & Jyro,0287058
Bob the Builder: A Christmas to Remember,0305312
Fimfárum Jana Wericha,0299878
Winter Days,0437198
The Legend of the Sky Kingdom,0430293
Bob the Builder: The Knights of Can-A-Lot,0397931
Davey and Goliath's Snowboard Christmas,0443476
Bob the Builder: Snowed Under,0863059
Bob the Builder: When Bob Became a Builder,2233090
Disaster!,2316548
Klay World: Off the Table,0757996
Among the Thorns,0495289
The Book of the Dead,2151849
Corpse Bride,0121164
Wallace & Gromit: The Curse of the Were-Rabbit,0476503
The Three Musketeers,0108333
Bob the Builder: Bob's Big Plan,4581780
Live Freaky! Die Freaky!,0197633
Blood Tea and Red String,0827498
Fimfárum 2,0496296
Holidaze: The Christmas That Almost Didn't Happen,0849447
Desmond & the Swamp Barbarian Trap,0806053
Bob the Builder: Built to be Wild,3532208
Saving Mother,3296434
We Are the Strange,0923985
One Night in One City,2619082
Max & Co,0959324
Tengers,1352802
Davie & Golimyr,1252478
$9.99,0790799
Moomin and Midsummer Madness,1194618
Edison and Leo,0907678
A Miser Brothers' Christmas,1332026
Bob the Builder: Race to the Finish,2221572
Coraline,0327597
Mary and Max,0978762
A Town Called Panic,6066170
Fantastic Mr. Fox,0432283
Toys in the Attic,0057598
Sky Song,31848428
The Ugly Duckling,0278789
Jackboots on Whitehall,0915463
Cheburashka,16550628
Moomins and the Comet Chase,32109898
The Puppet Monster Massacre,1881087
The Sandman and the Lost Sand of Dreams,1442223
Fimfarum: The Third Time Lucky,2053359
Spot and Splodge on the Spot,7346166
The Pirates! In an Adventure with Scientists!,1430626
ParaNorman,1623288
O Apóstolo,1331294
Consuming Spirits,2253947
Frankenweenie,1142977
7 Sea Pirates,2231505
Miffy the Movie,1690991
Lisa Limone and Maroc Orange: A Rapid Love Story,2630316
Louis & Luca and the Snow Machine,2769896
Worms,0462346
Spot and Spldogde Plottspotting,5336614
The Boxtrolls,0787474
Possessed,0039725
Shaun the Sheep Movie,2872750
El Bandido Cucaracha,4997844
Little from the Fish Shop,3038052
Acid Space,4883574
Hell and Back,0048729
Louis & Luca - The Big Cheese Race,4970552
Anomalisa,2401878
Kuru Kuru and Friends: The Rainbow Tree Forest,6448112
Les espiègles,8368512
Pat a Mat ve filmu,5320892
Finding Santa,7385392
Murderous Tales,6037818
Kubo and the Two Strings,4302938
My Life as a Courgette,2321405
In the Forest of Huckybucky,15782690
Moomins and the Winter Wonderland,6315872
Junk Head,6848928
Laika,1637688
The Tower,1648190
Pat & Mat Back in Action,8007250
Early Man,4701724
Chuck Steel: Night of the Trampires,4278346
This Magnificent Cake!,7925798
Isle of Dogs,5104604
Pat & Mat: Winter Fun,0841929
Strike,4276618
Captain Morten and the Spider Queen,2534642
Gofmaniada,1849772
The Wolf House,8173728
Louis & Luca - Mission to the Moon,7533756
Urpo ja Turpo johtolangan jäljillä,9064708
Missing Link,6348138
Pat & Mat: DIY Troubles,11349982
The old man,5645432
A Shaun the Sheep Movie: Farmageddon,6193408
A Colourful Dream,13432244
The Nose or the Conspiracy of Mavericks,11689090
"L'équipe de secours, en route pour l'aventure!",29724666
Alien Xmas,11332750
Mad God,15090124
Bob Spit: We Do Not Like People,10376010
Even Mice Belong in Heaven,3804810
Adventures of a young Moomin,9733630
The House,11198330
Knor,16445248
Wendell & Wild,5181830
Pinocchio,4593060
No Dogs or Italians Allowed,12826598
The Inventor,5822848
Chicken Run: Dawn of the Nugget,8337264
"Tony, Shelly and the Magic Light",14506102
